IPN,MPN,Manufacturer,Description,Symbol,Footprint,Capacitance,Voltage,Material,Tolerance,Datasheet,Voltage Rating (AC),Series,Length,Width,Height,Mounting Type,Package/Case,Polarization,Lead Spacing
CAP-2006-001U,UES1H100MPM,Nichicon,CAP ALUM BI-POL 20% 50V RADIAL 10u,Device:C,g-cap:CP_Radial_D8.0mm_H11.5mm_P3.50mm,10u,50V,Aluminum Electrolytic,20.00%,https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ues.pdf,,UES,8,8,11.5,Through Hole,Radial,Bi-Polar,3.5mm
CAP-2006-001U,UES1V220MPM,Nichicon,CAP ALUM BI-POL 20% 35V RADIAL 22u,Device:C,g-cap:CP_Radial_D8.0mm_H11.5mm_P3.50mm,22u,35V,Aluminum Electrolytic,20.00%,https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ues.pdf,,UES,8,8,11.5,Through Hole,Radial,Bi-Polar,3.5mm
CAP-2006-001U,UES1E330MPM,Nichicon,CAP ALUM BI-POL 20% 25V RADIAL 33u,Device:C,g-cap:CP_Radial_D8.0mm_H11.5mm_P3.50mm,33u,25V,Aluminum Electrolytic,20.00%,https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ues.pdf,,UES,8,8,11.5,Through Hole,Radial,Bi-Polar,3.5mm
CAP-2006-001U,UES1E470MPM,Nichicon,CAP ALUM BI-POL 20% 25V RADIAL 47u,Device:C,g-cap:CP_Radial_D10.0mm_H12.5mm_P5.00mm,47u,25V,Aluminum Electrolytic,20.00%,https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ues.pdf,,UES,10,10,12.5,Through Hole,Radial,Bi-Polar,5mm
CAP-2006-001U,UES1E101MPM,Nichicon,CAP ALUM BI-POL 20% 25V RADIAL 100u,Device:C,g-cap:CP_Radial_D10.0mm_H16.0mm_P5.00mm,100u,25V,Aluminum Electrolytic,20.00%,https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ues.pdf,,UES,10,10,16,Through Hole,Radial,Bi-Polar,5mm
CAP-3005-001U,EEE-HB1H1R0R,Panasonic,CAP ALUM POL 20% 50V SMT 1u,Device:C_Polarized_US,Capacitor_SMD:CP_Elec_4x5.8,1u,50V,Aluminum Electrolytic,20.00%,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1157.pdf,,HB,4,4,5.8,SMD,"Radial, Can - SMD",Polar,
CAP-3005-02U2,EEE-HB1H2R2R,Panasonic,CAP ALUM POL 20% 50V SMT 2.2u,Device:C_Polarized_US,Capacitor_SMD:CP_Elec_4x5.8,2.2u,50V,Aluminum Electrolytic,20.00%,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1157.pdf,,HB,4,4,5.8,SMD,"Radial, Can - SMD",Polar,
CAP-3005-03U3,EEE-HB1H3R3R,Panasonic,CAP ALUM POL 20% 50V SMT 3.3u,Device:C_Polarized_US,Capacitor_SMD:CP_Elec_4x5.8,3.3u,50V,Aluminum Electrolytic,20.00%,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1157.pdf,,HB,4,4,5.8,SMD,"Radial, Can - SMD",Polar,
CAP-3005-04U7,EEE-HB1E4R7R,Panasonic,CAP ALUM POL 20% 25V SMT 4.7u,Device:C_Polarized_US,Capacitor_SMD:CP_Elec_4x5.8,4.7u,25V,Aluminum Electrolytic,20.00%,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1157.pdf,,HB,4,4,5.8,SMD,"Radial, Can - SMD",Polar,
CAP-3005-06U8,EEE-HB1E6R8R,Panasonic,CAP ALUM POL 20% 25V SMT 6.8u,Device:C_Polarized_US,Capacitor_SMD:CP_Elec_6.3x5.8,6.8u,25V,Aluminum Electrolytic,20.00%,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1157.pdf,,HB,4,4,5.8,SMD,"Radial, Can - SMD",Polar,
